id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
1400704,RR,2339,13695,8114,0.87529,15,105.76,5.4,13264,12213,0,0
1200435,AC,1344,6717,6156,0.77397,17,103.73,7.68,4297,2639,0,0
1400407,RR,2719,13893,6960,0.91823,17,106.53,8.23,12397,10081,0,0
1200328,AC,2003,9201,5357,0.81876,18,107.1,6.55,4109,3273,0,0
1303908,AM,6010,32931,19659,0.85195,19,105.88,11.12,26603,12081,0,0
1302306,AM,4845,24981,69457,0.84097,19,106.14,9.52,8148,3798,0,0
1504505,PA,5715,27714,6774,0.80117,19,109.43,9.25,11,0,0,0
1501105,PA,5748,31715,4397,0.82553,19,103.93,8.67,1,0,869,463
1400027,RR,2996,13715,28473,0.68174,19,110,11.29,9651,8966,0,0
1200393,AC,2611,10735,6446,0.81098,20,110.37,9.98,868,654,0,0
1200351,AC,4321,17093,8191,0.77175,20,110.25,10.13,3355,2119,0,0
1300201,AM,3390,15195,76508,0.77182,20,106.25,10.91,7769,5138,0,0
1304237,AM,3380,19232,6447,0.86882,20,107.16,11.21,10649,3511,0,0
1302801,AM,3021,15388,16831,0.84341,20,109.71,9.3,3021,855,0,0
1302108,AM,1735,8767,55827,0.87628,20,112.37,8.93,2590,1291,0,0
1303700,AM,5253,28142,12366,0.85631,20,104.07,11.35,18837,6258,0,0
1301951,AM,2333,10910,25260,0.73564,20,107.06,10.81,1953,1748,0,0
1503754,PA,5086,23845,53305,0.88787,20,109.39,9.47,14213,11780,0,0
1400050,RR,5060,21028,25454,0.63186,20,108.46,13.09,12712,11975,0,0
1300631,AM,4556,20671,17473,0.82987,21,108.77,13.3,2726,869,0,0
1304260,AM,3057,14261,10275,0.88073,21,112.6,11.94,3608,621,0,0
1301803,AM,4806,24038,12110,0.75843,21,104.16,9.79,2337,1752,0,0
1300607,AM,7742,37538,8705,0.87298,21,102.71,13.98,17786,11804,0,0
1300029,AM,3398,15828,5923,0.87633,21,107.94,13.09,5572,1052,72,0
1300060,AM,2156,10812,4754,0.85128,21,105.41,13.02,9947,3624,0,0
1303601,AM,2740,14099,62800,0.84104,21,105.99,13.91,13574,5899,0,0
1500701,PA,6369,27905,6914,0.77419,21,107.44,11.77,5,0,0,0
1400456,RR,3958,17365,8025,0.9423,21,104.68,9.52,10909,10909,0,0
1400159,RR,3498,13855,8080,0.91309,21,108.18,15.04,6460,5228,0,0
1200609,AC,11273,42871,20169,0.78507,22,110.33,14.67,3757,2748,0,0
1303502,AM,3960,19304,41625,0.75884,22,113.29,13.28,3948,1353,0,0
1302900,AM,13271,60966,39991,0.93837,22,109.88,17.25,11375,6120,0,0
1300508,AM,6895,30872,5752,0.93965,22,109.22,16.84,8241,4282,1885,1137
1301605,AM,5345,25732,12155,0.86069,22,106.67,14.88,7735,557,0,0
1303809,AM,10603,51258,109193,0.90595,22,104.23,16.1,47815,24546,0,0
1300409,AM,4253,18697,122461,0.78713,22,109.59,15.3,14082,4841,83,0
1302207,AM,2529,10729,19443,0.7936,22,107.74,13.81,1211,358,0,0
1301407,AM,8130,33061,14966,0.74719,22,102.89,16.01,2785,1773,0,0
1304062,AM,13839,66438,3260,0.90447,22,99.69,13.11,34374,19195,0,0
1600154,AP,3290,12807,9622,0.91297,22,108.42,10.68,1676,1571,0,0
1600550,AP,913,3800,4949,0.89874,22,110.11,14.92,3,0,0,0
2101731,MA,2070,8460,570,0.76352,22,112.67,15.13,1,0,0,0
2105476,MA,4678,17073,1962,0.72093,22,105.76,16.89,7880,7701,0,0
5102603,MT,3756,15320,5979,0.83815,22,105.17,16.85,8451,7887,0,0
1505809,PA,13286,61905,25385,0.79452,22,109.21,13.3,25,0,599,301
1501808,PA,24356,106633,9567,0.811,22,106.94,15.86,822,0,0,0
1502806,PA,8164,33830,3617,0.83142,22,111.37,14.77,13,0,1738,0
1200427,AC,4197,14919,3076,0.79956,23,108.89,16.83,85,0,0,0
1200344,AC,3242,11989,10631,0.77833,23,111.35,15.17,962,500,0,0
1200302,AC,9366,35345,27977,0.77351,23,105.76,15.95,4425,3751,0,0
1303106,AM,6480,26925,5578,0.91023,23,107.82,17.52,7063,0,0,0
1301506,AM,4185,17143,7506,0.73692,23,104.72,13.48,1263,905,0,0
1304203,AM,17460,73546,23692,0.90163,23,104.88,15.46,20384,1038,0,0
1301654,AM,3611,13790,7584,0.7764,23,106.04,15.99,328,0,0,0
1300805,AM,7986,33021,44236,0.88882,23,110.53,19.01,9386,5111,0,0
1301001,AM,7241,28668,25779,0.81991,23,105.31,16.33,1630,0,0,0
1300086,AM,2316,9944,2446,0.87756,23,109.73,14.62,965,213,0,0
1600212,AP,1156,4426,2179,0.89411,23,105.58,16.75,0,0,0,0
1600402,AP,5321,21802,13295,0.87556,23,108.34,16.05,23,0,1479,305
1600709,AP,3321,12900,6685,0.88788,23,110.28,15.65,11,0,58,58
1600253,AP,1361,5583,1623,0.89113,23,107.29,14.72,3,0,105,51
2104081,MA,2668,10861,5087,0.73776,23,108.49,17.7,3478,3400,468,0
2103158,MA,3283,12341,1168,0.79865,23,105.19,18.45,835,832,0,0
5006358,MS,3632,12728,1307,0.86013,23,102.3,19.76,5578,4998,0,0
1503101,PA,7375,31687,8570,0.82027,23,110.8,16.13,61,0,3471,2136
1505205,PA,8093,33694,3852,0.85649,23,108.9,16.53,14,0,3500,2663
1505908,PA,9065,40564,17423,0.86456,23,108.41,12.68,103,19,482,158
1500305,PA,9038,37658,8338,0.77974,23,109.14,15.56,29,0,0,0
1502509,PA,4748,20704,12535,0.80865,23,115.34,15.76,26,0,0,0
1721109,TO,2000,7439,2610,0.89947,23,104.36,19.42,4069,3775,0,0
1302405,AM,11269,45339,68263,0.804,24,109.01,16.86,12021,2870,0,0
1303957,AM,2665,11542,10647,0.94063,24,112.53,17.82,308,0,0,0
1301209,AM,17564,70506,57971,0.86342,24,103.31,17.33,9640,204,0,0
1304005,AM,2825,11534,3723,0.94491,24,110.01,19.02,1066,0,0,0
1300300,AM,11007,41548,7653,0.89873,24,110.81,18.64,20438,4091,0,0
1303304,AM,4785,23695,41180,0.87966,24,108.33,20.13,1144,314,0,0
1300102,AM,4147,17123,6036,0.86822,24,109.53,16.28,512,361,0,0
1304104,AM,4792,19489,84946,0.79191,24,109.7,16.01,3637,1275,0,0
1300680,AM,4594,23768,2589,0.95631,24,110.79,22.27,1545,0,0,0
1301308,AM,5571,23473,18701,0.86176,24,107.85,17.77,76,0,0,0
1300839,AM,2967,13378,9456,0.91717,24,108.4,17.22,755,0,0,0
1302702,AM,12170,53766,48315,0.89558,24,104.81,19.04,8229,1429,0,0
1600238,AP,1796,6657,4974,0.90711,24,101.51,17.08,1,0,82,22
1600808,AP,3006,11244,2509,0.87396,24,106.04,16.92,3,0,187,101
1600501,AP,7041,27092,23034,0.93628,24,105.4,10.97,8066,6188,146,56
2100600,MA,10849,37039,7440,0.80396,24,106.11,23.37,8200,7494,0,0
2106375,MA,3326,13740,761,0.77523,24,102.22,21.04,2056,2048,0,0
2112605,MA,8599,32790,1708,0.78529,24,103.21,21.97,9,0,0,0
2103174,MA,4508,16241,8401,0.79729,24,109.03,19.44,468,423,68,0
5004809,MS,2492,8139,417,0.84972,24,102.43,21.59,4710,4627,0,0
5106174,MT,1141,4165,4035,0.82435,24,103.29,19.44,1725,1321,0,0
1503903,PA,12346,50735,8305,0.93764,24,105.77,17.84,128,0,4,0
1200336,AC,5678,19224,5452,0.84267,25,104.82,19.54,2815,1304,0,0
1200054,AC,2426,8090,4979,0.85299,25,104.34,17.65,1206,740,0,0
1303205,AM,4165,15707,37777,0.8957,25,104.34,19.93,4861,1121,196,88
1303403,AM,23900,96063,5956,0.95931,25,102.22,23.91,5608,722,0,0
1302504,AM,26883,101637,7337,0.8897,25,104.15,21.1,3813,78,4,0
1600535,AP,5012,17794,4428,0.90151,25,105.65,18.06,28,0,142,76
1600105,AP,2055,7911,8455,0.89526,25,108.26,20.41,7,0,0,0
1600204,AP,2778,10432,14117,0.899,25,110.64,16.71,17,0,58,56
2106359,MA,1918,7025,1403,0.7127,25,122.3,17.71,7,0,0,0
2110278,MA,3550,13923,1583,0.82316,25,104.56,24.83,2,0,0,0
2109205,MA,3161,11340,356,0.79305,25,106.25,23.99,8,0,3743,0
2105005,MA,6984,25647,1715,0.81568,25,107.88,26.89,30,0,222,0
2110401,MA,5019,18342,931,0.79038,25,103.25,27.53,1,0,85,0
2101970,MA,2146,7550,400,0.80899,25,103.06,22.71,39,0,591,0
2100105,MA,1699,6132,371,0.7678,25,103.92,24.06,1,0,0,0
2102036,MA,8264,28534,2677,0.77669,25,106.4,22.63,502,330,0,0
2102374,MA,2681,9720,707,0.77803,25,108.44,24.94,4,0,511,323
2106326,MA,6000,21131,636,0.81787,25,96.19,22.68,2,0,0,0
2111029,MA,3316,12251,910,0.71787,25,103.81,23.94,133,79,0,0
2112456,MA,7213,31614,1508,0.82449,25,96.91,19.97,26,0,1793,0
2109403,MA,3604,13603,1337,0.79691,25,111.73,27.09,4,0,281,0
2100550,MA,2025,7170,502,0.79238,25,103.98,23.5,1,0,0,0
2100956,MA,7154,25478,2976,0.7501,25,106.35,23.97,3508,3113,0,0
2102200,MA,8083,29628,1476,0.76364,25,104.32,28.03,14,0,430,0
2105351,MA,3811,13824,1244,0.74548,25,106.26,23.68,1296,1187,0,0
3162450,MG,3600,13024,678,0.79976,25,103.15,23.87,10398,8796,0,0
5003157,MS,4478,14207,1024,0.84956,25,96.98,23.53,3663,3272,0,0
1500404,PA,17906,69250,23645,0.89182,25,105.94,21.23,36,0,1806,1210
1507953,PA,21587,72364,4430,0.88618,25,101.8,15.04,85,0,0,0
1505304,PA,17956,68115,107614,0.92672,25,101.83,22.44,3795,3253,9438,4857
1504000,PA,7177,29525,1490,0.89351,25,107.09,18.31,13,0,56,0
1508308,PA,16235,58608,4973,0.80779,25,107.98,23.2,0,0,1577,43
1501006,PA,4647,18188,17074,0.90959,25,110.13,23.82,3187,2556,0,0
1500859,PA,9335,31548,11895,0.85046,25,108.92,16.64,943,808,0,0
1501956,PA,5620,19578,2420,0.79783,25,111.55,18.32,34,0,1030,839
1507201,PA,8463,30585,1687,0.83702,25,109.81,25.87,49,0,467,0
1507706,PA,6560,25539,1632,0.90484,25,108.24,19.26,61,0,0,0
1504950,PA,6025,20437,2808,0.77071,25,105.56,17.14,80,54,0,0
1500503,PA,9116,34173,72955,0.8742,25,106.1,18.85,1088,1076,1,0
1506005,PA,9205,35427,14787,0.88558,25,107.93,17.95,41,0,126,107
1400282,RR,2925,10018,14012,0.79965,25,112.94,20.26,1745,1513,0,0
1400175,RR,5429,18557,7665,0.90809,25,114.17,21.89,5217,3287,0,0
1703842,TO,2419,8623,3234,0.86861,25,108.26,20.77,6,0,0,0
1200500,AC,12627,40874,23760,0.82408,26,107.76,23.15,1674,966,0,0
1200203,AC,26737,91147,8783,0.86245,26,99.58,21.81,1663,868,0,0
2707800,AL,1987,6468,129,0.74973,26,99.88,22.92,2,0,0,0
1301902,AM,27664,103209,8892,0.93927,26,104.21,22.52,7996,888,352,0
1301704,AM,14416,57359,33111,0.88743,26,105.42,20.23,4742,1573,0,0
1302009,AM,2599,10107,4335,0.94075,26,105.71,21.38,323,0,0,0
1303007,AM,4570,20036,14107,0.93221,26,106.4,22.28,1042,832,0,0
1304401,AM,5202,23539,2886,0.93704,26,102.56,21.68,1710,0,0,0
1600279,AP,10331,35059,30783,0.89752,26,102.84,20.59,145,94,345,0
1600055,AP,1364,4631,7713,0.93713,26,106.86,15.53,2,0,0,0
2103554,MA,4105,14898,726,0.76987,26,106.49,24.52,8,0,0,0
2109304,MA,3111,10543,460,0.80286,26,98.44,25.32,0,0,2213,0
2101707,MA,17971,65461,3046,0.83108,26,103.56,23.05,39,0,2720,0
2106631,MA,3903,17413,794,0.80803,26,102.79,21.49,1,0,229,0
2112704,MA,12882,43250,1959,0.7757,26,100.68,28.06,19,0,1747,107
2100303,MA,6664,23283,1942,0.71543,26,100.38,25.71,12,0,158,0
2102325,MA,16339,55406,2545,0.7945,26,100,25.92,248,153,0,0
2108256,MA,6940,24297,1754,0.79584,26,99.85,26.37,33,0,3899,257
2106904,MA,7956,27746,1246,0.79547,26,100.83,29.06,79,0,4720,0
2107209,MA,3526,14163,571,0.80371,26,93,21.6,5,0,617,0
2104651,MA,2806,10704,1144,0.81391,26,107.74,27.32,13,0,0,0
2108058,MA,4418,16994,979,0.7892,26,105.25,26.16,13,0,135,0
2112407,MA,10226,37459,2622,0.8428,26,97.41,25.85,20,0,4331,544
2104800,MA,21786,73736,8862,0.82836,26,101.58,24.01,7904,5984,50,45
1500909,PA,12365,44524,1100,0.82544,26,104.69,24.11,20,0,145,0
1504703,PA,25016,83890,9094,0.87528,26,109.12,19.43,258,179,6244,3406
1503457,PA,8758,30206,5216,0.8245,26,106.43,20.81,37,4,439,0
1502855,PA,3903,14105,1431,0.91958,26,108.25,21.99,35,0,223,0
1508001,PA,19818,67373,5145,0.88632,26,103.73,20.48,582,263,332,0
1504604,PA,6854,27120,871,0.91778,26,103,28.66,47,0,4923,1801
1502103,PA,33318,133949,3081,0.91668,26,105.35,26.68,125,0,10124,1754
1504901,PA,10636,45181,3763,0.8999,26,102.8,21.1,7,0,0,0
1507805,PA,6498,22231,14420,0.84771,26,117.47,14.86,845,471,0,0
1503002,PA,2096,8693,11772,0.92743,26,105.61,24.91,83,66,0,0
1502764,PA,3626,12863,17085,0.83501,26,121.74,13.9,2405,2381,0,0
2503555,PB,2291,7223,124,0.75257,26,93.65,32.01,10,0,1698,0
2609154,PE,6694,23751,345,0.69833,26,99.19,27.29,17,0,3,0
2607000,PE,7310,25590,1231,0.75866,26,96.75,22.76,3876,1407,1151,0
2201150,PI,3883,13235,7809,0.85093,26,105.07,20.9,291,0,0,0
1400308,RR,5339,17937,12338,0.87667,26,105.93,22.59,738,471,0,0
